36064077 | Association | Pulmonary Embolism | KITLG
1914770 | Association | Colitis Ulcerative | CD4
1914770 | Association | Inflammatory Bowel Diseases | SELL
1914770 | Negative_Correlation | Colitis Ulcerative | NCAM1
1914770 | Positive_Correlation | Crohn Disease | CD8A
1914770 | Negative_Correlation | Colitis Ulcerative | FCGR3A
1914770 | Association | Inflammatory Bowel Diseases | PTPRC
1914770 | Association | Crohn Disease | CD4
1914770 | Association | Inflammatory Bowel Diseases | CD4
35891565 | Negative_Correlation | Hydrocortisone | Pneumonia
35891565 | Association | kaempferol | COVID-19
35891565 | Association | afzelin | COVID-19
35891565 | Association | COVID-19 | ORF1ab
35891565 | Association | Apigenin | COVID-19
35891565 | Positive_Correlation | Apigenin | SERPINE1
35891565 | Association | Quercetin | COVID-19
35891565 | Association | Quercetin | SERPINE1
35891565 | Association | Hydrocortisone | COVID-19
37243868 | Negative_Correlation | Remifentanil | Carcinoma Hepatocellular
37243868 | Negative_Correlation | Glucose | Sufentanil
37243868 | Negative_Correlation | Sufentanil | Carcinoma Hepatocellular
37243868 | Comparison | Remifentanil | Sufentanil
38544333 | Association | Mouth Diseases | Cd8a
38544333 | Association | PDCD1 | STAT1
38544333 | Negative_Correlation | CCNB1 | CD8A
38544333 | Positive_Correlation | STAT1 | CD8A
38544333 | Positive_Correlation | PDCD1 | CD8A
38544333 | Positive_Correlation | Inflammation | CD8A
38544333 | Negative_Correlation | Mouth Diseases | CD8A
38544333 | Association | Endometriosis | STAT1
38544333 | Association | Endometriosis | PDCD1
38544333 | Negative_Correlation | CD8A | CDK1
38544333 | Association | Endometriosis | CD8A
38598121 | Negative_Correlation | IL10 | ACE2
38598121 | Negative_Correlation | IL10 | BDKRB1
38598121 | Association | Inflammation | ACE2
38598121 | Association | Inflammation | BDKRB1
38598121 | Negative_Correlation | Inflammation | IL10
32758800 | Association | Inflammation | IFNG
32758800 | Association | CD8A | TNF
32758800 | Association | Inflammation | TNF
32758800 | Association | TNF | CD4
32758800 | Association | CD8B | TNF
32758800 | Association | CD8A | IFNG
32758800 | Association | CD8B | IFNG
32758800 | Association | Inflammation | Error occurred: cannot get document summary
32758800 | Association | IFNG | CD4
27068393 | Association | vpr | RPA2
27068393 | Association | UNG | CD8A
27068393 | Association | vpr | CD8A
2118122 | Association | TXK | CD8A
2118122 | Association | LCK | CD8A
2118122 | Association | LCK | CD4
2118122 | Association | TXK | CD4
36776826 | Association | COVID-19 | BSG
36776826 | Association | Renal Insufficiency Chronic | TMPRSS2
36776826 | Association | COVID-19 | ACE2
36776826 | Association | Renal Insufficiency Chronic | ACE2
36776826 | Association | COVID-19 | TMPRSS2
36776826 | Association | Neoplasms | ACE2
36776826 | Association | Testosterone | Prostatic Neoplasms
36776826 | Association | Neoplasms | BSG
36776826 | Association | Testosterone | COVID-19
36776826 | Association | Renal Insufficiency Chronic | BSG
36776826 | Association | Neoplasms | TMPRSS2
15576786 | Association | MAPK14 | NUP37
2964240 | Association | Arthritis Rheumatoid | CD4
36058151 | Association | Inflammation | REN
36058151 | Association | Influenza Human | ACE2
36058151 | Negative_Correlation | Carotenoids | Inflammation
36058151 | Negative_Correlation | Carotenoids | Superoxides
36058151 | Association | Carotenoids | IL6
36058151 | Association | COVID-19 | REN
36058151 | Association | Inflammation | IL6
36058151 | Association | COVID-19 | NFKB1
36058151 | Negative_Correlation | Carotenoids | Influenza Human
36058151 | Association | COVID-19 | IL6
36058151 | Negative_Correlation | Carotenoids | Reactive Oxygen Species
36058151 | Association | Superoxides | Hypoxia
36058151 | Association | Carotenoids | NFKB1
36058151 | Association | COVID-19 | ACE2
36058151 | Negative_Correlation | Carotenoids | Coronavirus Infections
36058151 | Negative_Correlation | Carotenoids | ACE2
36058151 | Negative_Correlation | Carotenoids | Hypoxia
36058151 | Negative_Correlation | Carotenoids | Seasonal Affective Disorder
36058151 | Association | Inflammation | NFKB1
36058151 | Association | Carotenoids | REN
36058151 | Negative_Correlation | Carotenoids | COVID-19
2208107 | Negative_Correlation | flavone acetic acid | Neoplasms
2208107 | Negative_Correlation | flavone acetic acid | NCAM1
37365840 | Association | Reactive Oxygen Species | PTK2B
37365840 | Association | DUSP1 | PDX1
37365840 | Association | TGFB1 | UCP1
37365840 | Association | Nitric Oxide | Epoprostenol
37365840 | Association | Fibrosis | MAS1L
37365840 | Association | F3 | UCP1
37365840 | Association | MTOR | TLR4
37365840 | Association | PTK2B | PPARG
37365840 | Association | DUSP1 | MME
37365840 | Association | AKT1 | PDX1
37365840 | Association | AKT1 | SOD1
37365840 | Association | Reactive Oxygen Species | MTOR
37365840 | Association | Thiobarbituric Acid Reactive Substances | LPL
37365840 | Association | DUSP1 | TNF
37365840 | Association | Ischemia | MAS1L
37365840 | Association | AKT1 | REN
37365840 | Association | TAGLN | NPFF
37365840 | Association | TLR4 | NPFF
37365840 | Association | Thiobarbituric Acid Reactive Substances | SIRT1
37365840 | Association | REN | TLR4
37365840 | Association | Nitric Oxide | UCP1
37365840 | Association | PTK2B | REN
37365840 | Association | Weight Loss | MAS1L
37365840 | Association | PDX1 | REN
37365840 | Association | MTOR | UCP1
37365840 | Association | AKT1 | LPL
37365840 | Association | AKT1 | MTOR
37365840 | Association | SOD1 | TNF
37365840 | Association | LPL | SREBF1
37365840 | Association | SLIT3 | TLR4
37365840 | Association | SIRT1 | TLR4
37365840 | Association | SIRT1 | LPL
37365840 | Association | AKT1 | MME
37365840 | Association | Epoprostenol | SLIT3
37365840 | Association | MME | SREBF1
37365840 | Association | SREBF1 | UCP1
37365840 | Association | AKT1 | UCP1
