36563336 | Association | Leukemia Myeloid Acute | HLA-C
35990651 | Association | Coronavirus Infections | ACE2
35990651 | Association | NEO1 | TLR3
35990651 | Association | Death | ACE2
25587856 | Association | Acute Lung Injury | Cftr
25587856 | Association | Pneumonia | Tlr4
25587856 | Association | Pneumonia | Cftr
25587856 | Positive_Correlation | Jak3 | Tlr4
25587856 | Association | Acute Lung Injury | Jak3
25587856 | Association | Infections | Jak3
25587856 | Association | Pneumonia | Jak3
25587856 | Association | Inflammation | Cftr
25587856 | Association | Inflammation | Jak3
38583689 | Association | Parkinson Disease | CD4
38583689 | Association | Parkinson Disease | SNCA
38583689 | Association | Parkinson Disease | CD8A
38583689 | Association | Inflammation | HLA-C
38583689 | Association | Parkinson Disease | HLA-C
31112742 | Positive_Correlation | Triiodothyronine | Hyperthyroidism
34960747 | Association | Meningitis Aseptic | Lgals3
34960747 | Association | Echovirus Infections | Lgals3
34960747 | Association | Meningitis Aseptic | HLA-C
37662900 | Association | Arthritis | CDC42
37662900 | Association | CD14 | CDC42
37662900 | Association | Arthritis Rheumatoid | CD14
37662900 | Association | Arthritis Rheumatoid | CDC42
37671865 | Association | Carcinoma Pancreatic Ductal | Tyk2
37671865 | Association | Carcinoma Pancreatic Ductal | Jak3
35911854 | Association | Oxygen | Inflammation
35911854 | Association | Inflammation | Nfkb1
35911854 | Association | Uterine Diseases | Nfkb1
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | IFNGR1
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | IFITM2
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | CD4
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
38008145 | Association | ruxolitinib | IFNGR1
38008145 | Negative_Correlation | IL2 | IL2RA
36796002 | Association | TLR3 | VTN
36796002 | Association | ACE2 | VTN
36796002 | Association | TLR7 | VTN
36796002 | Association | TLR4 | VTN
38496880 | Association | Dyslipidemias | Ace2
38496880 | Association | Diabetes Mellitus Type 2 | Ace2
38496880 | Association | 12-Hydroxy-5 8 10 14-eicosatetraenoic Acid | Ace2
38496880 | Association | Cholic Acid | Ace2
38496880 | Association | Obesity | Ace2
38496880 | Association | 5-hydroxy-3-(2-hydroxyethyl)indole | Ace2
38496880 | Association | Ergothioneine | Ace2
38496880 | Association | glycylphenylalanine | Ace2
38496880 | Association | Deoxycholic Acid | Ace2
38496880 | Association | indole | Ace2
38496880 | Association | CP protocol | Ace2
38575346 | Association | Neoplasms | CD8A
37115711 | Negative_Correlation | linifanib | Pdgfrb
37115711 | Association | Ripk3 | Mlkl
37115711 | Negative_Correlation | linifanib | Ripk1
17385902 | Association | N-succinimidyl 8-((4'-fluorobenzyl)amino)suberate | Kat6b
17385902 | Association | Amines | Kat6b
17385902 | Association | Neoplasms | Kat6b
17385902 | Bind | Technetium | Kat6b
17385902 | Association | N-succinimidyl 8-((4'-fluorobenzyl)amino)suberate | Technetium
17385902 | Association | Carbodiimides | Kat6b
36396110 | Association | Glioblastoma | Snai2
36396110 | Negative_Correlation | ginkgolic acid | Glioblastoma
36396110 | Association | Glioblastoma | Akt1
36396110 | Negative_Correlation | ginkgolic acid | Neoplasms
36396110 | Negative_Correlation | ginkgolic acid | Akt1
36396110 | Negative_Correlation | ginkgolic acid | Snai1
36396110 | Negative_Correlation | ginkgolic acid | Snai2
38548592 | Association | Kynurenic Acid | Bone Diseases
38548592 | Association | indole-3-carbaldehyde | Kynurenic Acid
38548592 | Association | indole-3-carbaldehyde | Bone Diseases
11074253 | Association | Gastric Antral Vascular Ectasia | RHD
11074253 | Association | Connective Tissue Diseases | RHD
11891046 | Association | Neoplasms | DDX50
11891046 | Association | Neoplasms | DDX21
11891046 | Association | Neoplasms | RHD
38304042 | Negative_Correlation | Genistein | Vegfa
38304042 | Bind | Estradiol | Esr1
38304042 | Negative_Correlation | Genistein | Esr1
