25124902 | @CHEMICAL_calpeptin | calpeptin | 15 | 9 | Chemical | chemical | calpeptin
25124902 | @DISEASE_Atrophy | Atrophy | 39 | 20 | Disease | disease | atrophy of diaphragm
25124902 | @DISEASE_Inferior_Wall_Myocardial_Infarction | Inferior Wall Myocardial Infarction | 152 | 20 | Disease | disease | diaphragmatic injury
25124902 | @DISEASE_Atrophy | Atrophy | 177 | 7 | Disease | disease | atrophy
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 402 | 3 | Disease | disease | CMV
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 426 | 3 | Disease | disease | CMV
25124902 | @CHEMICAL_calpeptin | calpeptin | 447 | 9 | Chemical | chemical | calpeptin
25124902 | @CHEMICAL_Pentobarbital | Pentobarbital | 570 | 20 | Chemical | chemical | pentobarbital sodium
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 599 | 3 | Disease | disease | CMV
25124902 | @CHEMICAL_Pentobarbital | Pentobarbital | 630 | 20 | Chemical | chemical | pentobarbital sodium
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 711 | 3 | Disease | disease | CMV
25124902 | @CHEMICAL_calpeptin | calpeptin | 782 | 9 | Chemical | chemical | calpeptin
25124902 | @CHEMICAL_MEC_protocol_1 | MEC protocol 1 | 1282 | 3 | Chemical | chemical | CMV
25124902 | @DISEASE_Muscular_Diseases | Muscular Diseases | 1356 | 13 | Disease | disease | muscle injury
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 1387 | 3 | Disease | disease | CMV
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 1849 | 3 | Disease | disease | CMV
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 1939 | 3 | Disease | disease | CMV
25124902 | @DISEASE_Inferior_Wall_Myocardial_Infarction | Inferior Wall Myocardial Infarction | 2398 | 20 | Disease | disease | Diaphragmatic injury
25124902 | @DISEASE_Atrophy | Atrophy | 2423 | 7 | Disease | disease | atrophy
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 2448 | 3 | Disease | disease | CMV
25124902 | @CHEMICAL_calpeptin | calpeptin | 2466 | 9 | Chemical | chemical | Calpeptin
25124902 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 2517 | 3 | Disease | disease | CMV
25124902 | @DISEASE_Hernias_Diaphragmatic_Congenital | Hernias Diaphragmatic Congenital | 2613 | 28 | Disease | disease | dysfunction of the diaphragm
36330983 | @CHEMICAL_Cadmium | Cadmium | 0 | 7 | Chemical | chemical | Cadmium
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 104 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 118 | 7 | Chemical | chemical | Cadmium
36330983 | @CHEMICAL_Cadmium | Cadmium | 127 | 2 | Chemical | chemical | Cd
36330983 | @CHEMICAL_Metals_Heavy | Metals Heavy | 149 | 11 | Chemical | chemical | heavy metal
36330983 | @CHEMICAL_Cadmium | Cadmium | 236 | 2 | Chemical | chemical | Cd
36330983 | @CHEMICAL_Cadmium | Cadmium | 307 | 2 | Chemical | chemical | Cd
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 407 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 518 | 2 | Chemical | chemical | Cd
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 528 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 638 | 2 | Chemical | chemical | Cd
36330983 | @CHEMICAL_Cadmium | Cadmium | 709 | 2 | Chemical | chemical | Cd
36330983 | @GENE_JAK3 | Jak3 | 736 | 4 | Gene | gene | JAK3
36330983 | @GENE_STAT5A | Stat5a | 741 | 5 | Gene | gene | STAT5
36330983 | @CHEMICAL_Cadmium | Cadmium | 909 | 2 | Chemical | chemical | Cd
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 952 | 12 | Disease | disease | cytotoxicity
36330983 | @DISEASE_Neoplasms | Neoplasms | 1000 | 5 | Disease | disease | tumor
36330983 | @DISEASE_Neoplasms | Neoplasms | 1062 | 5 | Disease | disease | tumor
36330983 | @CHEMICAL_Cadmium | Cadmium | 1089 | 2 | Chemical | chemical | Cd
36330983 | @GENE_JAK3 | Jak3 | 1116 | 4 | Gene | gene | JAK3
36330983 | @GENE_STAT5A | Stat5a | 1121 | 5 | Gene | gene | STAT5
36330983 | @GENE_FASLG | FASLG | 1166 | 4 | Gene | gene | FasL
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1202 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 1222 | 2 | Chemical | chemical | Cd
36330983 | @GENE_GZMB | GZMB | 1261 | 10 | Gene | gene | granzyme B
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1301 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 1396 | 2 | Chemical | chemical | Cd
36330983 | @GENE_JAK3 | Jak3 | 1428 | 4 | Gene | gene | JAK3
36330983 | @GENE_STAT5A | STAT5A | 1433 | 5 | Gene | gene | STAT5
36330983 | @GENE_FASLG | FASLG | 1479 | 4 | Gene | gene | FasL
36330983 | @CHEMICAL_Cadmium | Cadmium | 1493 | 2 | Chemical | chemical | Cd
36330983 | @GENE_GZMB | GZMB | 1532 | 10 | Gene | gene | granzyme B
36330983 | @CHEMICAL_Cadmium | Cadmium | 1568 | 2 | Chemical | chemical | Cd
36330983 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1662 | 12 | Disease | disease | cytotoxicity
36330983 | @CHEMICAL_Cadmium | Cadmium | 1790 | 2 | Chemical | chemical | Cd
38594245 | @GENE_ORF1AB | ORF1ab | 36 | 6 | Gene | gene | 3CLpro
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 73 | 5 | Chemical | chemical | WU-04
38594245 | @DISEASE_COVID_19 | COVID-19 | 176 | 10 | Disease | disease | SARS-CoV-2
38594245 | @VARIANT_p.M49K_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.M49K | 230 | 4 | Variant | variant | M49K
38594245 | @VARIANT_p.M165V_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.M165V | 235 | 5 | Variant | variant | M165V
38594245 | @VARIANT_p.M49K_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.M49K | 245 | 4 | Variant | variant | M49K
38594245 | @VARIANT_p.S301P_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.S301P | 250 | 5 | Variant | variant | S301P
38594245 | @GENE_ORF1AB | ORF1ab | 264 | 16 | Gene | gene | 3C-like protease
38594245 | @GENE_ORF1AB | ORF1ab | 282 | 6 | Gene | gene | 3CLpro
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 348 | 5 | Chemical | chemical | WU-04
38594245 | @VARIANT_p.M49K_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.M49K | 463 | 4 | Variant | variant | M49K
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 494 | 5 | Chemical | chemical | WU-04
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 541 | 5 | Chemical | chemical | WU-04
38594245 | @GENE_ORF1AB | ORF1ab | 586 | 6 | Gene | gene | 3CLpro
38594245 | @VARIANT_p.M165V_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.M165V | 609 | 5 | Variant | variant | M165V
38594245 | @VARIANT_p.S301P_ORF1ab_Severe_acute_respiratory_syndrome_coronavirus_2 | p.S301P | 668 | 5 | Variant | variant | S301P
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 706 | 5 | Chemical | chemical | WU-04
38594245 | @CHEMICAL_N_((1S_2R)_2_(4_bromo_2_(methylcarbamoyl)_6_nitro_anilino)cyclohexyl)isoquinoline_4_carboxamide | N-((1S 2R)-2-(4-bromo-2-(methylcarbamoyl)-6-nitro-anilino)cyclohexyl)isoquinoline-4-carboxamide | 747 | 5 | Chemical | chemical | WU-04
38594245 | @GENE_ORF1AB | ORF1ab | 792 | 6 | Gene | gene | 3CLpro
38594245 | @GENE_ORF1AB | ORF1ab | 830 | 6 | Gene | gene | 3CLpro
38594245 | @GENE_ORF1AB | ORF1ab | 871 | 6 | Gene | gene | 3CLpro
38594245 | @CHEMICAL_ensitrelvir | ensitrelvir | 946 | 11 | Chemical | chemical | ensitrelvir
38594245 | @CHEMICAL_nirmatrelvir | nirmatrelvir | 962 | 12 | Chemical | chemical | nirmatrelvir
38594245 | @GENE_ORF1AB | ORF1ab | 1073 | 6 | Gene | gene | 3CLpro
38594245 | @GENE_ORF1AB | ORF1ab | 1164 | 6 | Gene | gene | 3CLpro
38594245 | @DISEASE_COVID_19 | COVID-19 | 1289 | 10 | Disease | disease | SARS-CoV-2
38625070 | @GENE_NOTCH1 | Notch1 | 121 | 5 | Gene | gene | Notch
38625070 | @GENE_NOTCH1 | Notch1 | 445 | 6 | Gene | gene | Notch1
38625070 | @GENE_NOTCH1 | Notch1 | 577 | 6 | Gene | gene | Notch1
38625070 | @GENE_PYCARD | Pycard | 595 | 3 | Gene | gene | ASC
38625070 | @GENE_NOTCH1 | Notch1 | 793 | 6 | Gene | gene | Notch1
38625070 | @GENE_PYCARD | Pycard | 837 | 3 | Gene | gene | ASC
38625070 | @GENE_PYCARD | Pycard | 961 | 3 | Gene | gene | ASC
38625070 | @GENE_PYCARD | Pycard | 978 | 3 | Gene | gene | ASC
38625070 | @GENE_NOTCH1 | Notch1 | 988 | 5 | Gene | gene | Notch
38625070 | @GENE_NOTCH1 | Notch1 | 1248 | 6 | Gene | gene | Notch1
38625070 | @GENE_JAG1 | Jag1 | 1256 | 7 | Gene | gene | Jagged1
38625070 | @GENE_RGD1561860 | RGD1561860 | 1272 | 3 | Gene | gene | p52
38625070 | @GENE_RELB | Relb | 1276 | 4 | Gene | gene | RelB
38625070 | @GENE_PYCARD | Pycard | 1292 | 3 | Gene | gene | ASC
38625070 | @GENE_NOTCH1 | Notch1 | 1311 | 6 | Gene | gene | Notch1
38625070 | @GENE_JAG1 | Jag1 | 1322 | 7 | Gene | gene | Jagged1
38625070 | @GENE_PYCARD | Pycard | 1374 | 3 | Gene | gene | ASC
38625070 | @GENE_CD80 | Cd80 | 1424 | 4 | Gene | gene | CD80
38625070 | @GENE_CD86 | Cd86 | 1430 | 4 | Gene | gene | CD86
38625070 | @GENE_NOTCH1 | Notch1 | 1485 | 5 | Gene | gene | Notch
38625070 | @GENE_FOXP3 | Foxp3 | 1581 | 5 | Gene | gene | FOXP3
38625070 | @GENE_CD4 | Cd4 | 1588 | 3 | Gene | gene | CD4
38625070 | @GENE_PYCARD | Pycard | 1614 | 3 | Gene | gene | ASC
38625070 | @GENE_NOTCH1 | Notch1 | 1664 | 5 | Gene | gene | Notch
38625070 | @GENE_NOTCH1 | Notch1 | 1866 | 5 | Gene | gene | Notch
38625070 | @GENE_PYCARD | Pycard | 1895 | 3 | Gene | gene | ASC
38574622 | @GENE_SIGMAR1 | SIGMAR1 | 39 | 16 | Gene | gene | sigma-1 receptor
38574622 | @CHEMICAL_Haloperidol | Haloperidol | 77 | 11 | Chemical | chemical | haloperidol
38574622 | @DISEASE_Neuralgia | Neuralgia | 97 | 16 | Disease | disease | neuropathic pain
38574622 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 117 | 8 | Disease | disease | diabetic
38574622 | @CHEMICAL_Haloperidol | Haloperidol | 216 | 11 | Chemical | chemical | haloperidol
38574622 | @CHEMICAL_Haloperidol | Haloperidol | 229 | 3 | Chemical | chemical | HAL
38574622 | @GENE_SIGMAR1 | SIGMAR1 | 254 | 16 | Gene | gene | sigma-1 receptor
38574622 | @GENE_SIGMAR1 | SIGMAR1 | 272 | 8 | Gene | gene | sigma1 R
38574622 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 297 | 8 | Disease | disease | diabetic
38574622 | @DISEASE_Neuralgia | Neuralgia | 328 | 16 | Disease | disease | neuropathic pain
38574622 | @DISEASE_Hyperglycemia | Hyperglycemia | 364 | 13 | Disease | disease | hyperglycemia
38574622 | @CHEMICAL_Haloperidol | Haloperidol | 431 | 3 | Chemical | chemical | HAL
38574622 | @DISEASE_Hyperglycemia | Hyperglycemia | 436 | 13 | Disease | disease | Hyperglycemia
38574622 | @CHEMICAL_Niacinamide | Niacinamide | 473 | 12 | Chemical | chemical | nicotinamide
38574622 | @CHEMICAL_Streptozocin | Streptozocin | 486 | 14 | Chemical | chemical | streptozotocin
38574622 | @CHEMICAL_Sodium | Sodium | 517 | 2 | Chemical | chemical | NA
38574622 | @CHEMICAL_Streptozocin | Streptozocin | 520 | 3 | Chemical | chemical | STZ
38574622 | @DISEASE_Hyperalgesia | Hyperalgesia | 558 | 20 | Disease | disease | mechanical allodynia
38574622 | @DISEASE_Hyperalgesia | Hyperalgesia | 622 | 12 | Disease | disease | hyperalgesia
38574622 | @CHEMICAL_Formaldehyde | Formaldehyde | 651 | 8 | Chemical | chemical | formalin
38574622 | @CHEMICAL_Haloperidol | Haloperidol | 749 | 3 | Chemical | chemical | HAL
38574622 | @CHEMICAL_Gabapentin | Gabapentin | 776 | 10 | Chemical | chemical | gabapentin
38574622 | @CHEMICAL_Gabapentin | Gabapentin | 788 | 3 | Chemical | chemical | GBP
