37715885 | Negative_Correlation | Natalizumab | Multiple Sclerosis
37715885 | Association | Multiple Sclerosis | KLRB1
37715885 | Association | Multiple Sclerosis | CCR5
10392962 | Association | CXCR4 | CD34
22363634 | Bind | CS | ELANE
22363634 | Bind | ELANE | SERPINA1
9147421 | Association | CCR5 | CD4
9147421 | Association | Acquired Immunodeficiency Syndrome | CCR5
9147421 | Association | HIV Seropositivity | CCR5
9147421 | Negative_Correlation | Infections | CCR5
12729474 | Association | Hypothyroidism | CD8A
12729474 | Association | CD8A | TNFRSF8
12729474 | Association | Hashimoto Disease | CD4
12729474 | Association | Graves Disease | TNFRSF8
12729474 | Association | Hashimoto Disease | CD8A
12729474 | Association | Hashimoto Disease | TNFRSF8
12729474 | Association | Graves Disease | CD4
12729474 | Association | Graves Disease | CD8A
12729474 | Negative_Correlation | Hypothyroidism | TNFRSF8
12729474 | Association | Thyroiditis Autoimmune | TNFRSF8
12729474 | Association | CD4 | TNFRSF8
12729474 | Association | Thyroid Crisis | CCR5
12729474 | Association | Graves Disease | CCR5
38397455 | Association | Obesity | CD4
38397455 | Negative_Correlation | Obesity | PDCD1
38397455 | Association | Obesity | CCR5
37919427 | Negative_Correlation | Neoplasms | CD274
37919427 | Association | Neoplasms | CD8A
21180278 | Association | Lupus Erythematosus Systemic | IL10RA
21180278 | Association | Lupus Erythematosus Systemic | CCR8
21180278 | Association | Lupus Erythematosus Systemic | CXCR3
21180278 | Association | Lupus Erythematosus Systemic | CCR5
21180278 | Positive_Correlation | Lupus Erythematosus Systemic | CX3CR1
21180278 | Association | Lupus Erythematosus Systemic | CXCR5
28559889 | Association | Lipopeptides | p.L6L
28559889 | Association | Lipopeptides | p.E1L
22316480 | Bind | CCR5 | CCL5
22316480 | Bind | CCR5 | CCL3
22316480 | Bind | CCR5 | CCL4
35729596 | Association | Lung Neoplasms | CXCR4
35729596 | Association | EGFR | CXCR4
35729596 | Association | Neoplasms | CXCR4
35729596 | Association | Neoplasm Metastasis | CXCR4
35729596 | Association | Carcinoma Non-Small-Cell Lung | CXCR4
38375253 | Association | Asthma | IL2RB
38375253 | Association | Asthma | CD40LG
38375253 | Association | Asthma | PDCD1
38375253 | Association | CD8A | CD40LG
38375253 | Association | Asthma | CD8A
38375253 | Association | Asthma | CCL5
38375253 | Association | Asthma | ZAP70
38375253 | Association | Asthma | CCR5
38375253 | Association | Asthma | TNF
38160538 | Positive_Correlation | LDHA | CD4
38160538 | Positive_Correlation | Uveomeningoencephalitic Syndrome | CXCR4
38160538 | Association | Uveitis | Ldha
38160538 | Negative_Correlation | Ldha | CXCR4
38160538 | Association | Inflammation | Ldha
38160538 | Positive_Correlation | Uveomeningoencephalitic Syndrome | LDHA
9224818 | Negative_Correlation | Dextran Sulfate | p.N323S
9224818 | Negative_Correlation | Dextran Sulfate | p.S114N
9224818 | Negative_Correlation | Dextran Sulfate | p.K269E
9224818 | Association | Dextran Sulfate | ITIH4
9224818 | Negative_Correlation | Dextran Sulfate | p.N293D
17302896 | Association | Diabetes Mellitus Type 1 | TNFRSF8
36062301 | Association | Neoplasms | PSMB5
36062301 | Association | Carcinoma Hepatocellular | MTOR
36062301 | Association | Carcinoma Hepatocellular | PIK3R1
36062301 | Association | PSMB5 | CD8A
36062301 | Association | Carcinoma Hepatocellular | PSMB7
36062301 | Association | Carcinoma Hepatocellular | PSMB8
36062301 | Association | AKT1 | MTOR
36062301 | Positive_Correlation | PIK3R1 | PSMB5
36062301 | Association | Carcinoma Hepatocellular | PSMB2
36062301 | Association | Carcinoma Hepatocellular | AKT1
36062301 | Association | PSMB5 | CD4
36062301 | Association | AKT1 | PIK3R1
36062301 | Association | Carcinoma Hepatocellular | PSMB4
36062301 | Association | Carcinoma Hepatocellular | PSMB5
36062301 | Positive_Correlation | MTOR | PSMB5
36062301 | Positive_Correlation | AKT1 | PSMB5
2831674 | Association | Dermatitis Atopic | FADS2
2831674 | Association | gamma-Linolenic Acid | FADS2
2831674 | Negative_Correlation | Fatty Acids Unsaturated | Dermatitis Atopic
26668134 | Cotreatment | Lenalidomide | Dexamethasone
26668134 | Negative_Correlation | Dexamethasone | Smoldering Multiple Myeloma
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IFNG
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | CD28
26668134 | Association | Smoldering Multiple Myeloma | TNFRSF1B
