35179955 | @GENE_PPARGC1A | Ppargc1a | 1324 | 9 | Gene | gene | PGC1alpha
37250913 | @GENE_CXCR4 | CXCR4 | 75 | 5 | Gene | gene | CXCR4
37250913 | @GENE_CD34 | CD34 | 229 | 4 | Gene | gene | CD34
37250913 | @CHEMICAL_plerixafor | plerixafor | 438 | 10 | Chemical | chemical | plerixafor
37250913 | @GENE_CD34 | CD34 | 653 | 4 | Gene | gene | CD34
37250913 | @GENE_CD34 | CD34 | 689 | 4 | Gene | gene | CD34
37250913 | @GENE_CD34 | CD34 | 762 | 4 | Gene | gene | CD34
37250913 | @DISEASE_Pain | Pain | 982 | 9 | Disease | disease | bone pain
37250913 | @DISEASE_Splenic_Rupture | Splenic Rupture | 1062 | 15 | Disease | disease | splenic rupture
37250913 | @DISEASE_Anemia_Sickle_Cell | Anemia Sickle Cell | 1122 | 19 | Disease | disease | sickle-cell disease
37250913 | @DISEASE_Thrombosis | Thrombosis | 1299 | 29 | Disease | disease | vaso-occlusive and thrombotic
37250913 | @GENE_CXCR4 | CXCR4 | 1362 | 5 | Gene | gene | CXCR4
37250913 | @GENE_CXCR4 | CXCR4 | 1879 | 5 | Gene | gene | CXCR4
10860663 | @GENE_DDX21 | DDX21 | 130 | 8 | Gene | gene | RH II/Gu
10860663 | @DISEASE_Watermelon_stomach_disease | Watermelon stomach disease | 246 | 26 | Disease | disease | watermelon stomach disease
10860663 | @GENE_DDX21 | DDX21 | 274 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | DDX21 | 457 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | DDX21 | 572 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | DDX21 | 950 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | Ddx21 | 999 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | Ddx21 | 1173 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | Ddx21 | 1269 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | Ddx21 | 1506 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | DDX21 | 1674 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | Ddx21 | 1751 | 8 | Gene | gene | RH II/Gu
10860663 | @GENE_DDX21 | DDX21 | 1848 | 8 | Gene | gene | RH II/Gu
32784646 | @GENE_MSX1 | Msx1 | 13 | 4 | Gene | gene | Msx1
32784646 | @GENE_PIAS4 | Pias4 | 18 | 5 | Gene | gene | PIASy
32784646 | @GENE_MSX1 | Msx1 | 109 | 4 | Gene | gene | Msx1
32784646 | @GENE_TRP53_PS | Trp53-ps | 131 | 3 | Gene | gene | p53
32784646 | @DISEASE_Neoplasms | Neoplasms | 145 | 5 | Disease | disease | tumor
32784646 | @GENE_MSX1 | Msx1 | 190 | 4 | Gene | gene | Msx1
32784646 | @DISEASE_Neoplasms | Neoplasms | 209 | 5 | Disease | disease | tumor
