1384663 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 159 | 26 | Disease | disease | acute lymphocytic leukemia
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 277 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 505 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 543 | 14 | Disease | disease | acute leukemia
1384663 | @DISEASE_Acute_erythroleukemia | Acute erythroleukemia | 596 | 7 | Disease | disease | AML FAB
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 637 | 3 | Disease | disease | AML
1384663 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 685 | 7 | Disease | disease | ALL FAB
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 811 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 998 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Promyelocytic_Acute | Leukemia Promyelocytic Acute | 1073 | 2 | Disease | disease | M3
1384663 | @GENE_INVS | INVS | 1131 | 3 | Gene | gene | inv
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 1506 | 3 | Disease | disease | AML
1384663 | @GENE_INVS | INVS | 1564 | 3 | Gene | gene | inv
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 1753 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 1965 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Promyelocytic_Acute | Leukemia Promyelocytic Acute | 2024 | 2 | Disease | disease | M3
1384663 | @GENE_INVS | INVS | 2079 | 3 | Gene | gene | inv
1384663 | @DISEASE_Burkitt_Lymphoma | Burkitt Lymphoma | 2226 | 2 | Disease | disease | L3
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 2364 | 3 | Disease | disease | AML
1384663 | @DISEASE_Leukemia_Promyelocytic_Acute | Leukemia Promyelocytic Acute | 2397 | 2 | Disease | disease | M3
1384663 | @DISEASE_Burkitt_Lymphoma | Burkitt Lymphoma | 2473 | 2 | Disease | disease | L3
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 97 | 12 | Disease | disease | brain tumors
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 204 | 12 | Disease | disease | brain tumors
7617661 | @DISEASE_Medulloblastoma | Medulloblastoma | 221 | 16 | Disease | disease | medulloblastomas
7617661 | @DISEASE_Neuroectodermal_Tumors | Neuroectodermal Tumors | 248 | 22 | Disease | disease | neuroectodermal tumors
7617661 | @DISEASE_Astrocytoma | Astrocytoma | 278 | 12 | Disease | disease | astrocytomas
7617661 | @GENE_CD8A | CD8A | 366 | 5 | Gene | gene | Leu-2
7617661 | @GENE_HLA_A | HLA-A | 421 | 13 | Gene | gene | HLA-A, -B, -C
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 641 | 12 | Disease | disease | brain tumors
7617661 | @CHEMICAL_Biotin | Biotin | 700 | 6 | Chemical | chemical | biotin
7617661 | @GENE_CD8A | CD8A | 787 | 5 | Gene | gene | Leu-2
7617661 | @GENE_CD8A | CD8A | 827 | 3 | Gene | gene | CD8
7617661 | @DISEASE_Neoplasms | Neoplasms | 879 | 5 | Disease | disease | tumor
7617661 | @DISEASE_Neoplasms | Neoplasms | 979 | 5 | Disease | disease | tumor
