33958760 | @DISEASE_Neoplasms | Neoplasms | 794 | 6 | Disease | disease | tumour
33958760 | @DISEASE_Neoplasms | Neoplasms | 850 | 5 | Disease | disease | LIMIT
33958760 | @GENE_HSF1 | Hsf1 | 869 | 4 | Gene | gene | HSF1
33958760 | @DISEASE_Neoplasms | Neoplasms | 969 | 5 | Disease | disease | LIMIT
33958760 | @GENE_TMEM132A | TMEM132A | 976 | 3 | Gene | gene | GBP
33958760 | @GENE_HSF1 | Hsf1 | 985 | 4 | Gene | gene | HSF1
33958760 | @DISEASE_Neoplasms | Neoplasms | 1049 | 6 | Disease | disease | tumour
33958760 | @DISEASE_Neoplasms | Neoplasms | 1127 | 6 | Disease | disease | cancer
33958760 | @DISEASE_Neoplasms | Neoplasms | 1165 | 5 | Disease | disease | LIMIT
33958760 | @DISEASE_Neoplasms | Neoplasms | 1176 | 6 | Disease | disease | cancer
33958760 | @DISEASE_Neoplasms | Neoplasms | 1210 | 5 | Disease | disease | LIMIT
33958760 | @GENE_TMEM132A | TMEM132A | 1216 | 3 | Gene | gene | GBP
33958760 | @GENE_HSF1 | Hsf1 | 1220 | 4 | Gene | gene | HSF1
33958760 | @DISEASE_Neoplasms | Neoplasms | 1252 | 6 | Disease | disease | cancer
36407092 | @CHEMICAL_obinutuzumab | obinutuzumab | 23 | 12 | Chemical | chemical | Obinutuzumab
36407092 | @DISEASE_Lymphoma_Non_Hodgkin | Lymphoma Non-Hodgkin | 89 | 31 | Disease | disease | Follicular Non-Hodgkin Lymphoma
36407092 | @DISEASE_COVID_19 | COVID-19 | 132 | 8 | Disease | disease | COVID-19
36407092 | @DISEASE_Hematologic_Diseases | Hematologic Diseases | 205 | 20 | Disease | disease | Hematologic Diseases
36407092 | @CHEMICAL_obinutuzumab | obinutuzumab | 227 | 12 | Chemical | chemical | Obinutuzumab
36407092 | @DISEASE_Lymphoma_Follicular | Lymphoma Follicular | 287 | 19 | Disease | disease | follicular lymphoma
36407092 | @DISEASE_Lymphoma_Follicular | Lymphoma Follicular | 308 | 2 | Disease | disease | FL
36407092 | @DISEASE_COVID_19 | COVID-19 | 622 | 8 | Disease | disease | COVID-19
36407092 | @DISEASE_Infections | Infections | 1032 | 10 | Disease | disease | infections
36407092 | @DISEASE_COVID_19 | COVID-19 | 1057 | 8 | Disease | disease | COVID-19
36407092 | @DISEASE_Death | Death | 1111 | 4 | Disease | disease | died
36407092 | @CHEMICAL_COP_protocol_2 | COP protocol 2 | 1264 | 3 | Chemical | chemical | CVP
36407092 | @DISEASE_COVID_19 | COVID-19 | 1270 | 20 | Disease | disease | SARS-CoV-2 infection
36407092 | @DISEASE_Death | Death | 1404 | 4 | Disease | disease | died
36407092 | @DISEASE_Neutropenia | Neutropenia | 1448 | 11 | Disease | disease | neutropenia
36407092 | @DISEASE_Lymphoma_Follicular | Lymphoma Follicular | 1651 | 19 | Disease | disease | Follicular Lymphoma
36407092 | @DISEASE_Lymphoma_Follicular | Lymphoma Follicular | 1820 | 2 | Disease | disease | FL
36407092 | @DISEASE_COVID_19 | COVID-19 | 1860 | 8 | Disease | disease | COVID-19
37072753 | @DISEASE_COVID_19 | COVID-19 | 62 | 8 | Disease | disease | Covid 19
37072753 | @DISEASE_COVID_19 | COVID-19 | 214 | 10 | Disease | disease | SARS-CoV-2
37072753 | @DISEASE_COVID_19 | COVID-19 | 226 | 8 | Disease | disease | Covid-19
