30291166 | Positive_Correlation | Il4ra | Stat6
30291166 | Association | Irf8 | Stat1
30291166 | Positive_Correlation | Il13ra1 | Stat6
30291166 | Association | Cd8a | Irf8
30291166 | Association | Il13 | Il4ra
20465573 | Association | IL7 | CD8A
20465573 | Association | FOXP3 | CD8A
20465573 | Association | LAMP1 | CD4
20465573 | Association | IL7 | STAT5A
20465573 | Association | IL2RA | CD8A
20465573 | Association | IL7 | CD4
20465573 | Association | STAT5A | CD8A
20465573 | Association | STAT5A | IL7
20465573 | Association | STAT5A | CD4
21964766 | Association | Neoplasm Metastasis | IRF1
21964766 | Association | Neoplasm Metastasis | HLA-A
21964766 | Association | Neoplasm Metastasis | STAT1
37551111 | Association | Carcinoma Hepatocellular | GBP3
37551111 | Positive_Correlation | GBP5 | CD8A
37551111 | Positive_Correlation | GBP1 | CD8A
37551111 | Association | Carcinoma Hepatocellular | GBP2
37551111 | Positive_Correlation | GBP4 | CD8A
37551111 | Positive_Correlation | GBP3 | CD8A
37551111 | Association | Carcinoma Hepatocellular | GBP5
37551111 | Positive_Correlation | GBP2 | CD8A
37551111 | Association | Carcinoma Hepatocellular | TMEM132A
37551111 | Association | Carcinoma Hepatocellular | GBP1
37551111 | Association | Carcinoma Hepatocellular | GBP4
27256105 | Association | Runx2 | Pias1
27256105 | Negative_Correlation | Prkaa1 | Runx2
27256105 | Association | Atherosclerosis | Prkaa1
27256105 | Negative_Correlation | Metformin | Atherosclerosis
27256105 | Association | Aortic Valve Calcification of | Prkaa1
27256105 | Association | Atherosclerosis | Runx2
27256105 | Association | Prkaa1 | Pias1
27256105 | Negative_Correlation | Metformin | Runx2
37478010 | Negative_Correlation | COVID-19 | RNF5
37478010 | Association | ORF3a | RNF5
30487281 | Association | Neonatal herpes | CD8A
30487281 | Association | Keratitis Herpetic | CD8A
30487281 | Association | Herpesviridae Infections | CD8A
36742975 | Negative_Correlation | COVID-19 | S
36899812 | Positive_Correlation | Carbamazepine | Inflammation
36899812 | Positive_Correlation | Carbamazepine | Stevens-Johnson Syndrome
36899812 | Positive_Correlation | Carbamazepine | NFKB1
36899812 | Association | Necrosis | NFKB1
36899812 | Positive_Correlation | carbamazepine epoxide | NFKB1
36899812 | Association | Carbamazepine | Necrosis
36899812 | Association | Inflammation | ERBB2
36899812 | Association | Inflammation | NFKB1
36899812 | Positive_Correlation | Carbamazepine | Eosinophilia
36899812 | Positive_Correlation | Carbamazepine | Exanthema
36899812 | Positive_Correlation | Carbamazepine | Drug Hypersensitivity
36899812 | Association | Carbamazepine | ERBB2
25008924 | Negative_Correlation | PIAS3 | STAT3
25008924 | Positive_Correlation | IL6 | STAT3
25008924 | Association | CCR5 | NFKB1
25008924 | Association | CCR5 | IL6
25008924 | Positive_Correlation | IL6 | ITIH4
25008924 | Association | CCR5 | CCL4
25008924 | Association | NFKB1 | STAT3
25008924 | Association | ITIH4 | NFKB1
25008924 | Positive_Correlation | ITIH4 | STAT3
25008924 | Association | IL6 | NFKB1
3476226 | Association | Lung Neoplasms | HLA-A
31786976 | Positive_Correlation | 2-Chloroadenosine | CDKN1B
31786976 | Negative_Correlation | Adenosine | Neointima
31786976 | Negative_Correlation | 2-Chloroadenosine | AKT1
31786976 | Association | AKT1 | CCND1
31786976 | Negative_Correlation | 2-Chloroadenosine | Hyperplasia
31786976 | Negative_Correlation | 2-Chloroadenosine | CCND1
31786976 | Positive_Correlation | Cyclic AMP | 2-Chloroadenosine
31786976 | Positive_Correlation | 2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine | IGKV2D-29
31786976 | Association | CDKN1B | SKP2
31786976 | Negative_Correlation | 2-Chloroadenosine | SKP2
31786976 | Association | Adenosine | ADK
31786976 | Association | 5-iodotubercidin | Adenosine
31786976 | Negative_Correlation | 5-iodotubercidin | ADK
31786976 | Association | Adenosine | ADA
31786976 | Negative_Correlation | 2-Chloroadenosine | KIT
34537242 | Association | H2BC21 | PIAS1
34537242 | Association | SH2D1A | PIAS1
34537242 | Association | H2AZ1 | PIAS1
28798155 | Positive_Correlation | Eif2ak3 | Ifng
